Pasangan Model (A vs B),a (Keduanya Benar),"b (A Benar, B Salah)","c (A Salah, B Benar)",d (Keduanya Salah),Chi2 (Edwards),p-value,Cohen Kappa (kappa),Keputusan Statistik
TAPT IndoBERT-LoRA vs LSTM Baseline,1336,49,83,262,8.25,0.0041,0.8519,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA (Vanilla) vs LSTM Baseline,1305,57,114,254,18.3392,1.8487e-05,0.8215,H0 Ditolak (Signifikan)
TAPT IndoBERT-LoRA vs IndoBERTweet-LoRA (Vanilla),1313,72,49,296,4.0,0.0455,0.8628,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA CW vs LSTM Class Weight,1320,0,0,410,0.0,1.0000,1.0,H0 Diterima (Serupa)
IndoBERTweet-LoRA ROS vs LSTM ROS,1342,0,0,388,0.0,1.0000,1.0,H0 Diterima (Serupa)
IndoBERTweet-LoRA RUS vs LSTM RUS,1260,51,159,260,54.519,1.5399e-13,0.7851,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA SMOTE vs LSTM SMOTE,1232,45,187,266,85.694,0.0000e+00,0.7609,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA CW vs IndoBERTweet-LoRA (Vanilla),1224,96,138,272,7.1838,0.0074,0.7611,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA ROS vs IndoBERTweet-LoRA (Vanilla),1226,116,136,252,1.4325,0.2314,0.7394,H0 Diterima (Serupa)
IndoBERTweet-LoRA RUS vs IndoBERTweet-LoRA (Vanilla),1228,83,134,285,11.5207,0.0007,0.7839,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA SMOTE vs IndoBERTweet-LoRA (Vanilla),1203,74,159,294,30.2833,3.7333e-08,0.763,H0 Ditolak (Signifikan)
LSTM Class Weight vs LSTM Baseline,1270,50,149,261,48.2613,3.7305e-12,0.7972,H0 Ditolak (Signifikan)
LSTM ROS vs LSTM Baseline,1279,63,140,248,28.4532,9.5991e-08,0.792,H0 Ditolak (Signifikan)
