Pasangan Model (A vs B),a (Keduanya Benar),"b (A Benar, B Salah)","c (A Salah, B Benar)",d (Keduanya Salah),Chi2 (Edwards),p-value,Cohen Kappa (kappa),Keputusan Statistik
TAPT IndoBERT-LoRA vs LSTM Baseline,1127,258,118,227,51.3856,7.5895e-13,0.5644,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA (Vanilla) vs LSTM Baseline,1102,260,143,225,33.3896,7.5427e-09,0.546,H0 Ditolak (Signifikan)
TAPT IndoBERT-LoRA vs IndoBERTweet-LoRA (Vanilla),1313,72,49,296,4.0,0.0455,0.8628,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA CW vs LSTM Class Weight,1056,264,186,224,13.1756,0.0003,0.5122,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA ROS vs LSTM ROS,1059,283,160,228,33.5982,6.7756e-09,0.5274,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA RUS vs LSTM RUS,794,517,148,271,203.6451,0.0000e+00,0.3744,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA SMOTE vs LSTM SMOTE,899,378,206,247,50.0702,1.4834e-12,0.3479,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA CW vs IndoBERTweet-LoRA (Vanilla),1224,96,138,272,7.1838,0.0074,0.7611,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA ROS vs IndoBERTweet-LoRA (Vanilla),1226,116,136,252,1.4325,0.2314,0.7394,H0 Diterima (Serupa)
IndoBERTweet-LoRA RUS vs IndoBERTweet-LoRA (Vanilla),1228,83,134,285,11.5207,0.0007,0.7839,H0 Ditolak (Signifikan)
IndoBERTweet-LoRA SMOTE vs IndoBERTweet-LoRA (Vanilla),1203,74,159,294,30.2833,3.7333e-08,0.763,H0 Ditolak (Signifikan)
LSTM Class Weight vs LSTM Baseline,1109,133,136,352,0.0149,0.9029,0.6519,H0 Diterima (Serupa)
LSTM ROS vs LSTM Baseline,1063,156,182,329,1.8491,0.1739,0.5883,H0 Diterima (Serupa)
