No,Model,Strategi Balancing,Arsitektur / Backbone,Hiperparameter,Train Acc (%),Test Acc (%),Gap Acc (%),Train Macro F1 (%),Test Macro F1 (%),Gap Macro F1 (%),Macro Precision (%),Macro Recall (%),Recall Netral (%),Status & Catatan
1,LSTM Baseline,Natural Baseline (Imbalance Data),Embedding(128) + LSTM(32),"lr: 0.0002, bs: 16, drop: 0.2",81.32,70.92,10.4,73.19,61.56,11.62,61.65,61.69,28.81,Majority Collapse pada kelas Netral (28.81%)
2,LSTM Class Weight,Class Weight (Cost-Sensitive Learning),Embedding(128) + LSTM(64),"lr: 0.0002, bs: 16, drop: 0.2",88.48,71.68,16.81,85.06,64.6,20.46,64.88,64.35,40.4,Penalti loss; Recall Netral naik signifikan (+11.59%)
3,LSTM ROS,Random Over-Sampling (ROS),Embedding(128) + LSTM(64),"lr: 0.0002, bs: 16, drop: 0.2",92.46,70.06,22.4,92.44,64.89,27.54,64.38,65.62,48.68,Recall Netral tertinggi LSTM (Overfitting F1 Gap +27.54%)
4,LSTM RUS,Random Under-Sampling (RUS),Embedding(128) + LSTM(64),"lr: 0.0002, bs: 16, drop: 0.2",70.59,53.06,17.53,70.64,52.72,17.92,57.34,56.95,56.62,Akurasi anjlok drastis (Information Loss >45% data)
5,LSTM SMOTE,SMOTE (Synthetic Sequence),Embedding(128) + LSTM(64),"lr: 0.0002, bs: 32, drop: 0.3",65.03,64.39,0.63,64.33,57.37,6.96,61.05,57.07,43.71,Vektor interpolasi merusak semantik token diskrit kata
6,IndoBERTweet-LoRA,Natural Baseline,indolem/indobertweet-base,"r: 16, a: 32, lr: 2e-4, ep: 8",84.15,77.98,6.17,80.2,73.9,6.3,73.18,74.88,61.26,Generalisasi semantik kontekstual sangat stabil (Gap <7%)
7,IndoBERTweet-LoRA CW,Class Weight (Cost-Sensitive),indolem/indobertweet-base,"r: 8, a: 16, lr: 2e-4, ep: 5",85.2,76.3,8.9,81.1,73.1,8.0,72.35,75.03,69.21,Recall Netral melonjak tinggi (69.21%) tanpa merusak generalisasi
8,IndoBERTweet-LoRA ROS,Random Over-Sampling (ROS),indolem/indobertweet-base,"r: 8, a: 16, lr: 2e-4, ep: 5",89.45,77.57,11.88,86.2,73.93,12.27,73.06,75.22,64.57,Duplikasi teks memperkuat atensi minoritas (Gap F1 +12.27%)
9,IndoBERTweet-LoRA RUS,Random Under-Sampling (RUS),indolem/indobertweet-base,"r: 8, a: 16, lr: 2e-4, ep: 5",80.12,75.78,4.34,76.5,72.67,3.83,71.74,74.72,69.54,Jauh lebih tahan dibanding LSTM RUS berkat pre-trained weights
10,IndoBERTweet-LoRA SMOTE,SMOTE (Sentence Latent Space),indolem/indobertweet-base,"r: 8, a: 16, lr: 2e-4, ep: 5",82.5,74.86,7.64,78.4,71.35,7.05,70.82,72.95,58.28,Sintesis pada fitur laten 768-d lebih stabil dibanding token diskrit
11,TAPT IndoBERT-LoRA,Domain Adaptation (MLM) + LoRA,indobertweet + TAPT (3 ep),"MLM lr: 5e-5, FT lr: 2e-4",86.4,80.06,6.34,82.5,74.61,7.89,75.83,73.83,52.65,"JUARA TERBAIK MUTLAK RISET (>80% Acc, 74.61% F1)"
